x, y, ksi, T
#iter= 1
0.2 0.3 0.0345595 0.413168 
0.25 0.3 0.0697879 0.422123 
0.3 0.3 0.102501 0.43696 
0.35 0.3 0.131551 0.457217 
0.4 0.3 0.155934 0.482326 
0.45 0.3 0.17482 0.511656 
0.5 0.3 0.187559 0.544542 
0.55 0.3 0.193697 0.580265 
0.6 0.3 0.192975 0.618018 
0.65 0.3 0.18534 0.656825 
0.7 0.3 0.170957 0.695455 
0.75 0.3 0.150225 0.732366 
0.8 0.3 0.123792 0.765698 
0.85 0.3 0.0925594 0.793389 
0.9 0.3 0.0576709 0.813411 
0.95 0.3 0.0204723 0.824106 
1 0.3 -0.0175533 0.824516 
1.05 0.3 -0.0548717 0.814606 
1.1 0.3 -0.0899925 0.795264 
1.15 0.3 -0.121556 0.768109 
1.2 0.3 -0.148403 0.73515 
1.25 0.3 -0.169611 0.698458 
1.3 0.3 -0.184514 0.659912 
1.35 0.3 -0.192693 0.621082 
1.4 0.3 -0.193969 0.583219 
1.45 0.3 -0.188378 0.547314 
1.5 0.3 -0.176167 0.514185 
1.55 0.3 -0.157777 0.484551 
1.6 0.3 -0.133846 0.459079 
1.65 0.3 -0.105194 0.438396 
1.7 0.3 -0.0728119 0.423069 
1.75 0.3 -0.0378351 0.413561 
1.8 0.3 -0.00150488 0.410182 
1.85 0.3 0.0348796 0.413045 
1.9 0.3 0.0700171 0.422054 
1.95 0.3 0.102659 0.436914 
2 0.3 0.131661 0.457173 
2.05 0.3 0.156017 0.48227 
2.1 0.3 0.174894 0.511582 
2.15 0.3 0.187639 0.544445 
2.2 0.3 0.193792 0.580148 
2.25 0.3 0.193092 0.617882 
2.3 0.3 0.185483 0.656675 
2.35 0.3 0.171128 0.6953 
2.4 0.3 0.150422 0.732217 
2.45 0.3 0.124013 0.765569 
2.5 0.3 0.0927985 0.793293 
2.55 0.3 0.0579215 0.813363 
2.6 0.3 0.0207262 0.824115 
2.65 0.3 -0.0173051 0.824588 
2.7 0.3 -0.0546383 0.814737 
2.75 0.3 -0.0897828 0.795448 
2.8 0.3 -0.121378 0.768334 
2.85 0.3 -0.148263 0.735404 
2.9 0.3 -0.169515 0.698729 
2.95 0.3 -0.184465 0.660189 
3 0.3 -0.192694 0.621356 
3.05 0.3 -0.19402 0.583482 
3.1 0.3 -0.188479 0.547561 
3.15 0.3 -0.176315 0.51441 
3.2 0.3 -0.157969 0.484748 
3.25 0.3 -0.134077 0.459242 
3.3 0.3 -0.105456 0.43852 
3.35 0.3 -0.0730978 0.423149 
3.4 0.3 -0.0381351 0.413594 
3.45 0.3 -0.0018087 0.410165 
3.5 0.3 0.0345826 0.412977 
3.55 0.3 0.0697374 0.421936 
3.6 0.3 0.102407 0.436749 
3.65 0.3 0.131445 0.456964 
3.7 0.3 0.155847 0.482021 
3.75 0.3 0.174775 0.511299 
3.8 0.3 0.187578 0.544133 
3.85 0.3 0.193792 0.579812 
3.9 0.3 0.193156 0.617531 
3.95 0.3 0.185612 0.656319 
4 0.3 0.171321 0.694953 
4.05 0.3 0.150676 0.731896 
4.1 0.3 0.124322 0.765296 
4.15 0.3 0.093156 0.793095 
4.2 0.3 0.0583167 0.813263 
4.25 0.3 0.021147 0.824135 
4.3 0.3 -0.0168721 0.824741 
4.35 0.3 -0.054207 0.815029 
4.4 0.3 -0.0893667 0.795873 
4.45 0.3 -0.12099 0.768879 
4.5 0.3 -0.147915 0.736052 
4.55 0.3 -0.169217 0.699459 
4.6 0.3 -0.184227 0.660981 
4.65 0.3 -0.192527 0.622189 
4.7 0.3 -0.193935 0.584333 
4.75 0.3 -0.188485 0.548405 
4.8 0.3 -0.176419 0.515219 
4.85 0.3 -0.158167 0.48549 
4.9 0.3 -0.134342 0.459887 
4.95 0.3 -0.105721 0.439049 
5 0.3 -0.0732288 0.423589 
0 0.35 -0.122794 0.390941 
0.05 0.35 -0.0851462 0.373668 
0.1 0.35 -0.0443322 0.362825 
0.15 0.35 -0.00186081 0.358888 
0.2 0.35 0.0406988 0.362036 
0.25 0.35 0.0817858 0.372137 
0.3 0.35 0.119914 0.388776 
0.35 0.35 0.15373 0.411329 
0.4 0.35 0.182058 0.439043 
0.45 0.35 0.20393 0.471119 
0.5 0.35 0.2186 0.506749 
0.55 0.35 0.225554 0.545116 
0.6 0.35 0.224515 0.585345 
0.65 0.35 0.215445 0.626418 
0.7 0.35 0.198562 0.667074 
0.75 0.35 0.174349 0.705738 
0.8 0.35 0.143576 0.740521 
0.85 0.35 0.107294 0.769332 
0.9 0.35 0.0668259 0.790119 
0.95 0.35 0.0237159 0.801207 
1 0.35 -0.0203389 0.801632 
1.05 0.35 -0.0635857 0.791357 
1.1 0.35 -0.10432 0.771278 
1.15 0.35 -0.140981 0.743027 
1.2 0.35 -0.172229 0.708638 
1.25 0.35 -0.196988 0.670211 
1.3 0.35 -0.21447 0.629655 
1.35 0.35 -0.224166 0.58857 
1.4 0.35 -0.225842 0.548237 
1.45 0.35 -0.219514 0.509689 
